Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664214358.186295,0,63958,0,GPS1_Frame1,42.338033333333335,-71.08817333333333,1.0,4689420.531438959,327977.141226482,19,T
1664214359.166074,0,63959,0,GPS1_Frame1,42.33802333333333,-71.08817,1.0,4689419.414271461,327977.3885678369,19,T
1664214360.1658638,0,63960,0,GPS1_Frame1,42.33801,-71.08815,1.0,4689417.89324478,327978.9998707609,19,T
1664214361.1665823,0,63961,0,GPS1_Frame1,42.338,-71.08812833333333,1.0,4689416.73898804,327980.7575689202,19,T
1664214362.1634066,0,63962,0,GPS1_Frame1,42.337981666666664,-71.08812333333333,1.1,4689414.693095739,327981.1194927426,19,T
1664214363.16516,0,63963,0,GPS1_Frame1,42.33796666666667,-71.08812,1.0,4689413.020716482,327981.3532009699,19,T
1664214364.183744,0,63964,0,GPS1_Frame1,42.337955,-71.08813333333333,1.0,4689411.7521958845,327980.22294644563,19,T
1664214365.1834393,0,63965,0,GPS1_Frame1,42.337936666666664,-71.08813166666667,1.0,4689409.713047062,327980.31025995617,19,T
1664214366.1643436,0,63966,0,GPS1_Frame1,42.33791333333333,-71.08813166666667,1.0,4689407.122058064,327980.2466341688,19,T
1664214367.1656854,0,63967,0,GPS1_Frame1,42.337893333333334,-71.08813,1.0,4689404.897838614,327980.32940316165,19,T
1664214368.166195,0,63968,0,GPS1_Frame1,42.337875,-71.088125,1.0,4689402.851946341,327980.6913277443,19,T
1664214369.1659133,0,63969,0,GPS1_Frame1,42.337855,-71.088125,1.0,4689400.63109865,327980.6367915926,19,T
1664214370.1853194,0,63970,0,GPS1_Frame1,42.33783833333333,-71.088115,1.0,4689398.760161887,327981.41517768125,19,T
1664214371.1862223,0,63971,0,GPS1_Frame1,42.33782166666667,-71.08810166666666,1.0,4689396.882481832,327982.46817525005,19,T
1664214372.1677165,0,63972,0,GPS1_Frame1,42.337806666666665,-71.08808666666667,1.0,4689395.18650092,327983.6630235514,19,T
1664214373.1870627,0,63973,0,GPS1_Frame1,42.33779166666667,-71.08807666666667,1.0,4689393.500635191,327984.4459557171,19,T
1664214374.184808,0,63974,0,GPS1_Frame1,42.33777666666667,-71.088065,1.0,4689391.811397924,327985.3661938971,19,T
1664214375.1659148,0,63975,0,GPS1_Frame1,42.337765,-71.08805166666667,1.0,4689390.488930454,327986.43282721046,19,T
1664214376.1664567,0,63976,0,GPS1_Frame1,42.33775333333333,-71.08804,1.0,4689389.169834756,327987.3621552753,19,T
1664214377.1662428,0,63977,0,GPS1_Frame1,42.337741666666666,-71.08802333333334,1.0,4689387.840624474,327988.70340076485,19,T
1664214378.1661289,0,63978,0,GPS1_Frame1,42.33773166666667,-71.088015,1.0,4689386.713342846,327989.3626626342,19,T
1664214379.167455,0,63979,0,GPS1_Frame1,42.337725,-71.08801,1.0,4689385.962945649,327989.7564020944,19,T
1664214380.1678903,0,63980,0,GPS1_Frame1,42.337715,-71.08800666666667,1.0,4689384.8457787465,327990.00374708755,19,T
1664214381.1704013,0,63981,0,GPS1_Frame1,42.33770666666667,-71.088,1.0,4689383.906939426,327990.5302481031,19,T
1664214382.171334,0,63982,0,GPS1_Frame1,42.337696666666666,-71.08799166666667,1.0,4689382.779657996,327991.189510674,19,T
1664214383.1731286,0,63983,0,GPS1_Frame1,42.33769,-71.087985,1.0,4689382.02588941,327991.72055637697,19,T
1664214384.1752574,0,63984,0,GPS1_Frame1,42.33768166666667,-71.087975,1.0,4689381.080307247,327992.52166949294,19,T
1664214385.176794,0,63985,0,GPS1_Frame1,42.337673333333335,-71.08796333333333,1.0,4689380.131353714,327993.4600886649,19,T
1664214386.1774175,0,63986,0,GPS1_Frame1,42.33766333333333,-71.087945,1.0,4689378.983843893,327994.9431872391,19,T
1664214387.180104,0,63987,0,GPS1_Frame1,42.33765666666667,-71.08793,1.0,4689378.213218496,327996.16076301155,19,T
1664214388.1805234,0,63988,0,GPS1_Frame1,42.33765,-71.087915,1.0,4689377.442593319,327997.3783390467,19,T
1664214389.1818147,0,63989,0,GPS1_Frame1,42.33764333333333,-71.0879,1.0,4689376.671968362,327998.59591534245,19,T
1664214390.183992,0,63990,0,GPS1_Frame1,42.33763666666667,-71.087885,1.0,4689375.901343628,327999.8134919029,19,T
1664214391.185694,0,63991,0,GPS1_Frame1,42.337628333333335,-71.08786833333333,1.0,4689374.942277163,328001.16383055534,19,T
1664214392.1849227,0,63992,0,GPS1_Frame1,42.337621666666664,-71.08785,1.0,4689374.164910312,328002.6560195823,19,T
1664214393.184917,0,63993,0,GPS1_Frame1,42.337615,-71.08783,1.0,4689373.384172533,328004.28551489476,19,T
1664214394.185212,0,63994,0,GPS1_Frame1,42.337608333333336,-71.08781333333333,1.0,4689372.610177596,328005.640398601,19,T
1664214395.2048898,0,63995,0,GPS1_Frame1,42.337603333333334,-71.087795,1.0,4689372.01788236,328007.1371325259,19,T
1664214396.187131,0,63996,0,GPS1_Frame1,42.33759666666667,-71.087775,1.0,4689371.237145655,328008.76662879594,19,T
1664214397.209081,0,63997,0,GPS1_Frame1,42.33759166666667,-71.08775666666666,1.0,4689370.644851103,328010.26336325274,19,T
1664214398.2089283,0,63998,0,GPS1_Frame1,42.33758666666667,-71.08774,1.0,4689370.055927989,328011.62279192463,19,T
1664214399.191217,0,63999,0,GPS1_Frame1,42.337581666666665,-71.08772333333333,1.0,4689369.467005145,328012.98222081433,19,T
1664214400.1914043,0,64000,0,GPS1_Frame1,42.33757666666666,-71.087705,1.0,4689368.874711516,328014.4789559654,19,T
1664214401.2116988,0,64001,0,GPS1_Frame1,42.33757333333333,-71.08768833333333,1.0,4689368.47085987,328015.84292900376,19,T
1664214402.2127333,0,64002,0,GPS1_Frame1,42.33757166666667,-71.08766833333334,1.0,4689368.24533713,328017.48605796293,19,T
1664214403.2143419,0,64003,0,GPS1_Frame1,42.337575,-71.087655,1.0,4689368.588510525,328018.59359366377,19,T
1664214404.2134295,0,64004,0,GPS1_Frame1,42.33757666666666,-71.08763833333333,1.0,4689368.739871567,328019.971197733,19,T
1664214405.1936471,0,64005,0,GPS1_Frame1,42.337581666666665,-71.08762166666666,1.0,4689369.261374136,328021.3578888439,19,T
1664214406.1934166,0,64006,0,GPS1_Frame1,42.33758666666667,-71.08760333333333,1.0,4689369.779506083,328022.88188575784,19,T
1664214407.1943972,0,64007,0,GPS1_Frame1,42.33759333333333,-71.08758166666667,1.0,4689370.47596727,328024.6850379274,19,T
1664214408.1950521,0,64008,0,GPS1_Frame1,42.337601666666664,-71.08756,1.0,4689371.357499538,328026.4927331425,19,T
1664214409.2153041,0,64009,0,GPS1_Frame1,42.33761333333333,-71.08754166666667,1.0,4689372.615915088,328028.03490271803,19,T
1664214410.1956184,0,64010,0,GPS1_Frame1,42.337625,-71.087525,1.0,4689373.877701724,328029.4397658031,19,T
1664214411.1957564,0,64011,0,GPS1_Frame1,42.33763833333333,-71.08750833333333,1.0,4689375.324559256,328030.84917170147,19,T
1664214412.1964693,0,64012,0,GPS1_Frame1,42.337646666666664,-71.08749833333333,1.0,4689376.229688031,328031.69572362566,19,T
1664214413.1970944,0,64013,0,GPS1_Frame1,42.33764333333333,-71.087505,1.0,4689375.8730296735,328031.1374134454,19,T
1664214414.216212,0,64014,0,GPS1_Frame1,42.337645,-71.08750666666667,1.0,4689376.061471034,328031.0046508594,19,T
1664214415.1962008,0,64015,0,GPS1_Frame1,42.337648333333334,-71.08751166666667,1.0,4689376.4417245,328030.6018198259,19,T
1664214416.2154744,0,64016,0,GPS1_Frame1,42.337655,-71.08751833333334,1.0,4689377.195489997,328030.0707696337,19,T
1664214417.1966343,0,64017,0,GPS1_Frame1,42.33766,-71.08753,1.0,4689377.774297212,328029.123258624,19,T
1664214418.1973057,0,64018,0,GPS1_Frame1,42.33766,-71.08753833333333,1.0,4689377.791151099,328028.4367293167,19,T
1664214419.197005,0,64019,0,GPS1_Frame1,42.337665,-71.087545,1.0,4689378.359846144,328027.90113606356,19,T
1664214420.2169828,0,64020,0,GPS1_Frame1,42.337671666666665,-71.08754833333333,1.0,4689379.1068702545,328027.6446979868,19,T
1664214421.1983771,0,64021,0,GPS1_Frame1,42.33767666666667,-71.08754833333333,1.0,4689379.662082143,328027.6583282054,19,T
1664214422.2194273,0,64022,0,GPS1_Frame1,42.337678333333336,-71.08754833333333,1.0,4689379.847152772,328027.6628716119,19,T
1664214423.1987846,0,64023,0,GPS1_Frame1,42.33767666666667,-71.08755166666667,1.0,4689379.668823749,328027.38371655234,19,T
1664214424.219084,0,64024,0,GPS1_Frame1,42.337675,-71.08755833333333,1.0,4689379.497236364,328026.82994982414,19,T
1664214425.2203953,0,64025,0,GPS1_Frame1,42.337675,-71.08756333333334,1.0,4689379.507348826,328026.4180323355,19,T
1664214426.197343,0,64026,0,GPS1_Frame1,42.337678333333336,-71.08756833333334,1.0,4689379.887602572,328026.0152017488,19,T
1664214427.1986074,0,64027,0,GPS1_Frame1,42.33768166666667,-71.08757333333334,1.0,4689380.267856341,328025.61237120617,19,T
1664214428.196821,0,64028,0,GPS1_Frame1,42.33768333333333,-71.08757666666666,1.0,4689380.459668659,328025.34230304736,19,T
1664214429.197912,0,64029,0,GPS1_Frame1,42.33768666666667,-71.08757666666666,1.0,4689380.829809918,328025.3513899852,19,T
1664214430.1983612,0,64030,0,GPS1_Frame1,42.33769,-71.08757833333334,1.0,4689381.203322027,328025.22317112586,19,T
1664214431.1976848,0,64031,0,GPS1_Frame1,42.337693333333334,-71.08758,1.0,4689381.576834136,328025.09495228156,19,T
1664214432.1979017,0,64032,0,GPS1_Frame1,42.337693333333334,-71.08757833333334,1.0,4689381.573463286,328025.232258072,19,T
1664214433.1991465,0,64033,0,GPS1_Frame1,42.337693333333334,-71.08758,1.0,4689381.576834136,328025.09495228156,19,T
1664214434.1984158,0,64034,0,GPS1_Frame1,42.337691666666665,-71.08758166666667,1.0,4689381.39513436,328024.95310301485,19,T
1664214435.1982176,0,64035,0,GPS1_Frame1,42.337696666666666,-71.08758833333333,1.0,4689381.96382969,328024.4175103279,19,T
1664214436.198634,0,64036,0,GPS1_Frame1,42.337705,-71.08759,1.0,4689382.8925537085,328024.3029220413,19,T
1664214437.199073,0,64037,0,GPS1_Frame1,42.337711666666664,-71.087595,1.0,4689383.642948848,328023.90917879343,19,T
